Device,Parent Device,Sensor,Location,Time,Value,Units,Status
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 12:00:00 AM",23.9,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 1:00:00 AM",23.8,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 2:00:00 AM",23.6,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 3:00:00 AM",27.6,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 4:00:00 AM",27.3,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 5:00:00 AM",27.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 6:00:00 AM",27.3,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 7:00:00 AM",27.2,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 8:00:00 AM",27.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 9:00:00 AM",27.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 10:00:00 AM",27.4,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 11:00:00 AM",27.3,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 12:00:00 PM",27.5,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 1:00:00 PM",28.6,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 2:00:00 PM",30,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 3:00:00 PM",25.6,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 4:00:00 PM",28.6,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 5:00:00 PM",21.4,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 6:00:00 PM",27.9,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 7:00:00 PM",22.6,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 8:00:00 PM",26.7,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 9:00:00 PM",27.7,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 10:00:00 PM",27.3,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"28 Aug, 2020 11:00:00 PM",28.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 12:00:00 AM",28.3,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 1:00:00 AM",28.5,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 2:00:00 AM",28.5,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 3:00:00 AM",28.2,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 4:00:00 AM",28.2,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 5:00:00 AM",28.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 6:00:00 AM",28.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 7:00:00 AM",28.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 8:00:00 AM",28.2,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 9:00:00 AM",20.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 10:00:00 AM",22.2,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 11:00:00 AM",22,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 12:00:00 PM",21.8,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 1:00:00 PM",22.7,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 2:00:00 PM",22.7,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 3:00:00 PM",22.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 4:00:00 PM",21.7,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 5:00:00 PM",22.5,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 6:00:00 PM",22.6,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 7:00:00 PM",22.2,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 8:00:00 PM",22.4,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 9:00:00 PM",22.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 10:00:00 PM",23.3,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"29 Aug, 2020 11:00:00 PM",22.6,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 12:00:00 AM",22.7,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 1:00:00 AM",22.4,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 2:00:00 AM",21.9,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 3:00:00 AM",20.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 4:00:00 AM",22.5,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 5:00:00 AM",23.3,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 6:00:00 AM",22.4,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 7:00:00 AM",23,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 8:00:00 AM",22.6,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 9:00:00 AM",22.8,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 10:00:00 AM",22.7,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 11:00:00 AM",22.5,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 12:00:00 PM",22,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 1:00:00 PM",22,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 2:00:00 PM",22.9,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 3:00:00 PM",22,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 4:00:00 PM",22.2,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 5:00:00 PM",21.7,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 6:00:00 PM",22.5,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 7:00:00 PM",22,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 8:00:00 PM",21.7,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 9:00:00 PM",22.6,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 10:00:00 PM",22.1,° C,
Average Temperature of Cold Aisle Containment 2,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 2,,"30 Aug, 2020 11:00:00 PM",22.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 12:00:00 AM",23.7,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 1:00:00 AM",23.8,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 2:00:00 AM",23.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 3:00:00 AM",24.9,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 4:00:00 AM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 5:00:00 AM",24.5,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 6:00:00 AM",24.9,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 7:00:00 AM",24.5,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 8:00:00 AM",24.5,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 9:00:00 AM",24.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 10:00:00 AM",24.8,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 11:00:00 AM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 12:00:00 PM",24.8,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 1:00:00 PM",25.8,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 2:00:00 PM",27.5,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 3:00:00 PM",24,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 4:00:00 PM",26.5,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 5:00:00 PM",22,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 6:00:00 PM",26.3,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 7:00:00 PM",21.7,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 8:00:00 PM",24.8,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 9:00:00 PM",25.9,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 10:00:00 PM",25.7,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"28 Aug, 2020 11:00:00 PM",26.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 12:00:00 AM",26.7,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 1:00:00 AM",26.8,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 2:00:00 AM",26.9,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 3:00:00 AM",26.9,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 4:00:00 AM",26.9,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 5:00:00 AM",26.9,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 6:00:00 AM",27,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 7:00:00 AM",26.9,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 8:00:00 AM",27,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 9:00:00 AM",22.7,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 10:00:00 AM",23.8,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 11:00:00 AM",23.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 12:00:00 PM",23.8,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 1:00:00 PM",24.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 2:00:00 PM",24.3,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 3:00:00 PM",24,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 4:00:00 PM",24,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 5:00:00 PM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 6:00:00 PM",24.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 7:00:00 PM",24.1,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 8:00:00 PM",24.2,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 9:00:00 PM",24.3,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 10:00:00 PM",24.8,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"29 Aug, 2020 11:00:00 PM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 12:00:00 AM",24.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 1:00:00 AM",24.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 2:00:00 AM",21.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 3:00:00 AM",24,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 4:00:00 AM",23.9,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 5:00:00 AM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 6:00:00 AM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 7:00:00 AM",24.7,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 8:00:00 AM",24.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 9:00:00 AM",24.5,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 10:00:00 AM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 11:00:00 AM",24.1,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 12:00:00 PM",24.2,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 1:00:00 PM",24.3,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 2:00:00 PM",24.5,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 3:00:00 PM",24.3,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 4:00:00 PM",24.1,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 5:00:00 PM",24,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 6:00:00 PM",24.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 7:00:00 PM",24.3,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 8:00:00 PM",24.1,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 9:00:00 PM",24.6,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 10:00:00 PM",24.4,° C,
Average Temperature of Cold Aisle Containment 1,localhost (StruxureWare Data Center Expert),Average Temperature of Cold Aisle POD 1,,"30 Aug, 2020 11:00:00 PM",24.4,° C,
